No,Sample_no,test_Temp,test_Humid,test_pH,test_N,test_P,test_K,test_Salinity,test_Conductivity,lab_pH,lab_N,lab_P,lab_K,lab_EC,mobi_pH,mobi_N,mobi_P,mobi_K,kit_pH,kit_N,kit_P,kit_K,sim_pH,sim_N,sim_P,sim_K
394,1056/3,30.20,62.00,7.70,0.00,29.00,21.00,82.00,150.00,6.30,0.04,14.00,58.00,0.02,6.30,0.04,17.00,12.00,6.00,0.05,6.50,30.00,7.00,0.01,4.00,50.00
397,1057/1,30.20,59.50,6.20,0.00,24.00,16.00,77.00,140.00,4.80,0.05,2.00,11.00,0.01,4.80,0.05,4.00,4.00,5.50,0.07,3.00,30.00,7.00,0.01,4.00,50.00
400,1057/2,29.90,61.60,6.00,0.00,24.00,16.00,77.00,140.00,4.80,0.05,2.00,12.00,0.01,4.80,0.05,5.00,4.00,5.50,0.07,3.00,30.00,7.00,0.01,4.00,50.00
403,1057/3,29.80,59.10,5.90,0.00,24.00,16.00,77.00,140.00,4.80,0.05,2.00,11.00,0.01,4.80,0.05,5.00,4.00,5.50,0.07,3.00,30.00,7.00,0.01,4.00,50.00
406,1060/1,30.70,63.40,6.20,0.00,32.00,24.00,85.00,156.00,4.90,0.03,147.00,18.00,0.03,4.90,0.03,245.00,5.00,5.00,0.05,35.50,30.00,7.00,0.01,4.00,50.00
409,1060/2,30.70,61.60,6.50,0.00,32.00,24.00,85.00,157.00,4.90,0.03,155.00,18.00,0.03,4.90,0.03,249.00,4.00,5.00,0.05,35.50,30.00,7.00,0.01,4.00,50.00
412,1060/3,30.70,64.60,6.40,0.00,31.00,24.00,85.00,155.00,5.00,0.03,166.00,19.00,0.03,5.00,0.03,228.00,4.00,5.00,0.05,35.50,30.00,7.00,0.01,4.00,50.00
415,1068/1,30.50,61.60,6.00,0.00,24.00,16.00,76.00,139.00,5.00,0.03,4.00,8.00,0.02,5.00,0.03,2.00,3.00,5.50,0.05,3.00,30.00,7.00,0.01,4.00,50.00
418,1068/2,30.50,62.00,6.20,0.00,24.00,16.00,77.00,140.00,5.00,0.03,4.00,9.00,0.02,5.00,0.03,2.00,3.00,5.50,0.05,3.00,30.00,7.00,0.01,4.00,50.00
421,1068/3,30.50,63.80,6.10,0.00,24.00,16.00,76.00,139.00,4.90,0.03,4.00,9.00,0.02,4.90,0.03,2.00,3.00,5.50,0.05,3.00,30.00,7.00,0.01,4.00,50.00
424,1070/1,30.50,63.80,6.10,0.00,24.00,16.00,76.00,139.00,4.80,0.02,48.00,18.00,0.01,4.80,0.02,44.00,4.00,6.00,0.05,18.00,30.00,7.00,0.01,4.00,50.00
427,1070/2,30.50,64.60,6.00,0.00,24.00,16.00,76.00,139.00,4.70,0.02,45.00,19.00,0.01,4.70,0.02,42.00,4.00,6.00,0.05,18.00,30.00,7.00,0.01,4.00,50.00
430,1070/3,30.50,64.60,6.00,0.00,24.00,16.00,76.00,139.00,4.60,0.02,53.00,19.00,0.01,4.60,0.02,40.00,4.00,6.00,0.05,18.00,30.00,7.00,0.01,4.00,50.00
433,1071/1,30.40,63.40,6.00,0.00,25.00,17.00,77.00,141.00,4.60,0.04,17.00,19.00,0.02,4.60,0.04,11.00,4.00,5.00,0.05,6.50,30.00,7.00,0.01,4.00,50.00
436,1071/2,30.40,61.60,6.00,0.00,26.00,17.00,78.00,142.00,4.70,0.03,18.00,23.00,0.02,4.70,0.03,11.00,4.00,5.00,0.05,6.50,30.00,7.00,0.01,4.00,50.00
439,1071/3,30.20,61.60,6.10,0.00,25.00,17.00,78.00,142.00,4.70,0.03,17.00,21.00,0.02,4.70,0.03,12.00,4.00,5.00,0.05,6.50,30.00,7.00,0.01,4.00,50.00
442,1126/1,30.30,69.50,8.10,11.00,72.00,64.00,130.00,238.00,7.00,0.07,30.00,57.00,0.10,7.00,0.07,17.00,9.00,7.00,0.07,6.50,45.50,7.00,0.01,4.00,50.00
445,1126/2,30.40,66.80,8.40,11.00,72.00,64.00,131.00,239.00,6.70,0.08,28.00,54.00,0.10,6.70,0.08,17.00,8.00,7.00,0.07,6.50,45.50,7.00,0.01,4.00,50.00
448,1126/3,30.30,66.80,8.50,11.00,71.00,64.00,130.00,237.00,6.90,0.08,27.00,56.00,0.10,6.90,0.08,17.00,9.00,7.00,0.07,6.50,45.50,7.00,0.01,4.00,50.00
451,1130/1,30.30,64.00,7.60,0.00,25.00,17.00,77.00,141.00,5.90,0.02,26.00,21.00,0.01,5.90,0.02,34.00,3.00,5.50,0.05,18.00,30.00,7.00,0.01,4.00,50.00
454,1130/2,30.20,61.60,7.50,0.00,24.00,16.00,77.00,140.00,5.60,0.02,23.00,20.00,0.01,5.60,0.02,34.00,3.00,5.50,0.05,18.00,30.00,7.00,0.01,4.00,50.00
457,1130/3,30.30,64.60,7.60,0.00,24.00,16.00,77.00,140.00,5.70,0.02,23.00,20.00,0.01,5.70,0.02,34.00,3.00,5.50,0.05,18.00,30.00,7.00,0.01,4.00,50.00
